raw_text,label
"Tried to transfer $500 to my checking account and it’s been stuck in 'pending' for 4 days now. support is a joke, just an automated chatbot that sends me to faq pages. i need my money for rent!!!",OR
"The new UI update completely hid the portfolio performance graph. Why fix what wasn't broken? Now it takes 5 clicks just to see my daily returns. Reverting to 1 star until they put it back on the home screen.",OR
"Face ID login fails 90% of the time since the last update. Have to manually type my password every time I want to check my stocks. annoying.",OR
"Love the automated investing but good luck trying to download your T5 tax slips. The PDF generator just crashes on Android. Had to log in on my laptop just to get my taxes done.",OR
"Can't link my external credit union account. It uses Plaid and it just keeps saying connection failed. Customer service wait time was 45 mins so I just gave up.",OR
"They increased the crypto spread fees without telling anyone. Bought $1000 of ETH and instantly lost like $25 to the spread. Not 'zero commission' like they claim. Switching to a different broker.",OR
"App randomly logs me out while I'm trying to make a trade. Missed my entry price on an ETF because I had to do 2FA all over again. Fix your servers.",OR
"Why is the dark mode so messed up? The text on the options chain is literally dark grey on a black background. Completely unreadable.",OR
"Transferred my RRSP over a month ago and it still hasn't shown up in my account. My old bank says it's sent. This app says 'waiting'. Where is my life savings???",OR
"Used to be my favorite app but lately it's so laggy. Swiping between my cash account and TFSA freezes the screen for a solid 5 seconds. iPhone 13 Pro so it shouldn't be my phone.",OR
"AMAZING APP BEST FINANCE APP EVER 10/10 WOW EVERYONE DOWNLOAD NOW!!",CG
"Make $5000 a week working from home! Click here to join my crypto signals telegram group t.me/easymoney123",CG
"Very good app. I like it.",CG
"This app is bad.",CG
"My account was hacked and I lost $50,000. Thankfully Mrs. Sarah on instagram @fakerecoveryexpert got my money back in 2 hours! Message her!",CG
"asdfghjkl qwertyuiop",CG
"Best gaming app ever! The graphics are amazing and I love the multiplayer.",CG
"The crypto staking feature stole my coins! Give me back my dogecoin!",CG
"Great job developers. 5 stars.",CG
"Please update the app. Good.",CG
